Name,Zone,Price,Surface,Zone_num
"Bilocale via Felicita Morandi 5, Rovereto, Milano",pasteur-rovereto,1100,52.0,3
"Bilocale via Padova 100, Parco Trotter, Milano",pasteur-rovereto,1250,65.0,3
"Bilocale via Nicola d'Apulia 2, Rovereto, Milano",pasteur-rovereto,1750,75.0,3
"Monolocale viale Brianza 12, Pasteur, Milano",pasteur-rovereto,2000,37.0,3
"Bilocale via Luigi Varanini 26, Pasteur, Milano",pasteur-rovereto,1300,53.0,3
"Bilocale buono stato, quarto piano, Pasteur, Milano",pasteur-rovereto,800,55.0,3
"Bilocale viale Monza, Pasteur, Milano",pasteur-rovereto,1250,70.0,3
"Bilocale via Francesco Predabissi 1, Parco Trotter, Milano",pasteur-rovereto,1100,52.0,3
"Bilocale via Bernardino Verro 17, Ripamonti, Milano",ripamonti-vigentino,1000,65.0,4
"Quadrilocale via Giovanni Spadolini 10/d, Ripamonti, Milano",ripamonti-vigentino,2250,100.0,4
"Trilocale via Bernardino Verro, Ripamonti, Milano",ripamonti-vigentino,2000,100.0,4
"Bilocale via San Bernardo 16, Quintosole - Chiaravalle, Milano",ripamonti-vigentino,620,35.0,4
"Bilocale via Antonio Pasinetti, Ripamonti, Milano",ripamonti-vigentino,850,40.0,4
"Bilocale viale Toscana,13, Ripamonti, Milano",ripamonti-vigentino,2500,85.0,4
"Bilocale via Gastone De Foix 1, Vigentino - Fatima, Milano",ripamonti-vigentino,900,55.0,4
"Loft viale Ortles 54/A, Corvetto, Milano",ripamonti-vigentino,1180,55.0,4
"Bilocale via Bernardino Verro 15, Ripamonti, Milano",ripamonti-vigentino,1050,50.0,4
"Bilocale via Gian Francesco Pizzi 17, Ripamonti, Milano",ripamonti-vigentino,1150,47.0,4
"Trilocale via dei Bognetti, Ripamonti, Milano",ripamonti-vigentino,1700,90.0,4
"Trilocale via ghini , 4, Ripamonti, Milano",ripamonti-vigentino,1300,80.0,4
