Name,Zone,Price,Surface
"Monolocale via Teocrito 36, Gorla, Milano",precotto-turro,950,39
"Bilocale viale Monza 317, Villa San Giovanni, Milano",precotto-turro,1100,49
"Villa a schiera via Stefanardo da Vimercate 1, Gorla, Milano",precotto-turro,2500,150
"Loft via Tofane 19, Turro, Milano",precotto-turro,1300,70
"Trilocale via Matteo Maria Boiardo 5, Turro, Milano",precotto-turro,1700,80
"Monolocale viale Monza 141, Turro, Milano",precotto-turro,850,35
"Open space via Esiodo 12, Precotto, Milano",precotto-turro,1000,35
"Attico piazza Davide Sesia 5, Turro, Milano",precotto-turro,2500,130
"Bilocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,750,30
"Bilocale viale Monza 106, Turro, Milano",precotto-turro,870,18
"Monolocale via Francesco Cavezzali 11, Turro, Milano",precotto-turro,700,35
"Bilocale via Asiago 48, Gorla, Milano",precotto-turro,1100,68
"Monolocale via Matteo Maria Boiardo, Turro, Milano",precotto-turro,"9001000(-10,0%)",30
"Bilocale via Jean Jaures 9, Turro, Milano",precotto-turro,1100,60
"Bilocale via Padova 5, Pasteur, Milano",pasteur-rovereto,1050,50
"Bilocale via dei Transiti,23, Pasteur, Milano",pasteur-rovereto,1150,77
"Bilocale viale Monza 46, Pasteur, Milano",pasteur-rovereto,1300,89
"Bilocale via Clitumno 14B, Parco Trotter, Milano",pasteur-rovereto,"15001600(-6,3%)",50
"Monolocale via Sant'Alessandro Sauli, Pasteur, Milano",pasteur-rovereto,850,65
"Bilocale via Popoli Uniti 14, Rovereto, Milano",pasteur-rovereto,1150,50
"Bilocale piazza Francesco Durante 24, Casoretto, Milano",pasteur-rovereto,1200,59
"Bilocale piazza Francesco Durante 24, Casoretto, Milano",pasteur-rovereto,1300,70
"Trilocale piazzale Loreto 5, Pasteur, Milano",pasteur-rovereto,"24002600(-7,7%)",63
"Trilocale via Ruggero Leoncavallo, Parco Trotter, Milano",pasteur-rovereto,1400,95
"Bilocale via Marco Aurelio 47, Rovereto, Milano",pasteur-rovereto,"12001400(-14,3%)",75
"Trilocale via Bassano del Grappa 32, Parco Trotter, Milano",pasteur-rovereto,1400,81
"Monolocale viale Monza 22A, Pasteur, Milano",pasteur-rovereto,1200,45
"Monolocale via Nino Oxilia 13, Pasteur, Milano",pasteur-rovereto,850,44
"Trilocale via Andrea Costa 8, Casoretto, Milano",pasteur-rovereto,2000,120
"Monolocale via Rovereto 8, Rovereto, Milano",pasteur-rovereto,700,20
"Bilocale via Bolzano, Rovereto, Milano",pasteur-rovereto,1200,60
"Bilocale via Pietro Marocco 13, Pasteur, Milano",pasteur-rovereto,1300,40
"Trilocale via Termopili 38, Rovereto, Milano",pasteur-rovereto,1400,65
"Monolocale via dei Cybo 2, Pasteur, Milano",pasteur-rovereto,1300,42
"Bilocale viale Monza 81, Rovereto, Milano",pasteur-rovereto,1350,47
"Trilocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1500,90
"Bilocale via Guido Cavalcanti 1, Pasteur, Milano",pasteur-rovereto,"11001200(-8,3%)",75
"Bilocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1100,45
"Trilocale via Ferrante Aporti 54, Rovereto, Milano",pasteur-rovereto,1500,60
"Bilocale via Nicola d'Apulia 16, Rovereto, Milano",pasteur-rovereto,950,50
"Bilocale via Giulio e Corrado Venini 38, Pasteur, Milano",pasteur-rovereto,1000,50
"Trilocale viale Monza, Pasteur, Milano",pasteur-rovereto,1290,90
"Trilocale via Andrea Costa 33, Pasteur, Milano",pasteur-rovereto,2400,93
"Bilocale via Giulio e Corrado Venini 57, Pasteur, Milano",pasteur-rovereto,850,45
"Trilocale via Ferrante Aporti 54, Rovereto, Milano",pasteur-rovereto,1390,60
"Trilocale via Andrea Costa, Casoretto, Milano",pasteur-rovereto,1600,95
"Bilocale via Venini Giulio e Corrado 39, Pasteur, Milano",pasteur-rovereto,950,50
"Bilocale viale Monza 81, Rovereto, Milano",pasteur-rovereto,1450,48
"Monolocale viale Monza 53, Pasteur, Milano",pasteur-rovereto,900,44
"Bilocale via Termopili 4, Pasteur, Milano",pasteur-rovereto,1100,51
"Monolocale via Giorgio Chavez 4, Parco Trotter, Milano",pasteur-rovereto,1000,40
"Bilocale via Roggia Scagna 10, Rovereto, Milano",pasteur-rovereto,1100,65
"Bilocale via Popoli Uniti, 7, Rovereto, Milano",pasteur-rovereto,850,51
"Bilocale via Padova 87, Parco Trotter, Milano",pasteur-rovereto,"750900(-16,7%)",40
"Bilocale via Giulio e Corrado Venini, Pasteur, Milano",pasteur-rovereto,1100,55
"Bilocale via Padova 82, Parco Trotter, Milano",pasteur-rovereto,790,40
"Bilocale via Guido Cavalcanti, Pasteur, Milano",pasteur-rovereto,1400,75
"Bilocale via Rovereto 7, Rovereto, Milano",pasteur-rovereto,1000,50
"Trilocale via Marco Aurelio  3, Pasteur, Milano",pasteur-rovereto,2650,100
"Monolocale via Padova 76, Parco Trotter, Milano",pasteur-rovereto,1000,30
"Bilocale ottimo stato, quarto piano, Pasteur, Milano",pasteur-rovereto,2150,100
"Monolocale via Marco Aurelio 45, Rovereto, Milano",pasteur-rovereto,"710810(-12,3%)",25
"Bilocale via Arqua 10, Parco Trotter, Milano",pasteur-rovereto,700,40
"Monolocale via Arqua 18, Parco Trotter, Milano",pasteur-rovereto,700,35
"Monolocale via Padova 76, Parco Trotter, Milano",pasteur-rovereto,900,30
"Open space via Giulio e Corrado Venini 75, Rovereto, Milano",pasteur-rovereto,1000,55
"Bilocale via Clitumno 9, Parco Trotter, Milano",pasteur-rovereto,1120,50
"Monolocale via Ruggero Leoncavallo 39, Parco Trotter, Milano",pasteur-rovereto,700,26
"Bilocale via Padova 5, Pasteur, Milano",pasteur-rovereto,"16501950(-15,4%)",60
"Trilocale via Andrea Costa 10, Casoretto, Milano",pasteur-rovereto,1300,75
"Bilocale via Martiri Oscuri, Rovereto, Milano",pasteur-rovereto,1200,48
"Bilocale via Francesco Predabissi 2, Parco Trotter, Milano",pasteur-rovereto,1200,65
"Trilocale viale Monza 91, Rovereto, Milano",pasteur-rovereto,1100,75
"Monolocale via Roggia Scagna 7, Rovereto, Milano",pasteur-rovereto,1100,46
"Bilocale via Martiri Oscuri, Rovereto, Milano",pasteur-rovereto,750,38
"Bilocale via Padova 82, Parco Trotter, Milano",pasteur-rovereto,700,40
"Bilocale via Predabissi, 4, Parco Trotter, Milano",pasteur-rovereto,1130,50
"Quadrilocale via Andrea Costa 33, Pasteur, Milano",pasteur-rovereto,3250,140
"Bilocale via padova 5, Pasteur, Milano",pasteur-rovereto,1750,55
"Bilocale viale Monza 42, Pasteur, Milano",pasteur-rovereto,"16001750(-8,6%)",50
"Bilocale via Giacosa, 53, Rovereto, Milano",pasteur-rovereto,900,50
"Bilocale via Temperanza, Pasteur, Milano",pasteur-rovereto,900,55
"Bilocale via dei Transiti 26, Pasteur, Milano",pasteur-rovereto,1150,65
