Name,Zone,Price,Surface
"Appartamento all'asta via Pompeo Cambiasi, 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Giovanni Pacini 29, Milano",citta-studi-susa,186295,106
"Appartamento all'asta via  Antonio Vallisneri , 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta via Pompeo Cambiasi, 8, Milano",citta-studi-susa,277500,93
"Appartamento all'asta via Pompeo Cambiasi , 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Pompeo Cambiasi 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Illirico 3, Milano",citta-studi-susa,78750,48
"Appartamento all'asta via Pompeo Cambiasi, 5, Milano",citta-studi-susa,84000,38
"Attico - mansarda all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,664721,225
"Appartamento all'asta via Cardinal Mezzofanti, 24/a, Milano",citta-studi-susa,474055,160
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,664721,123
"Appartamento all'asta via Cardinal Mezzofanti,  24/a, Milano",citta-studi-susa,474055,121
"Appartamento all'asta via Illirico , 3, Milano",citta-studi-susa,78750,46
"Appartamento all'asta via Pompeo Cambiasi , 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Pompeo Cambiasi 5, Milano",citta-studi-susa,71250,29
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,40
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti 24, Milano",citta-studi-susa,474055,160
"Appartamento all'asta via Pompeo Cambiasi , 8, Milano",citta-studi-susa,277500,120
"Appartamento all'asta via Pompeo Cambiasi , 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Cardinal Mezzofanti 24/a, Milano",citta-studi-susa,664721,122
"Appartamento all'asta via Illirico, Milano",citta-studi-susa,78750,48
"Appartamento all'asta via Illirico , 3, Milano",citta-studi-susa,78750,45
"Appartamento all'asta via cambiasi, 8, Milano",citta-studi-susa,277500,105
"Appartamento all'asta piazzale Susa , 7, Milano",citta-studi-susa,147000,47
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,474055,136
"Appartamento all'asta piazzale Susa 7, Milano",citta-studi-susa,147000,47
"Appartamento all'asta via Giovanni Pascoli, 2, Milano",citta-studi-susa,89300,47
"Appartamento all'asta piazzale Susa , 7, Milano",citta-studi-susa,147000,39
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti 24/A, Milano",citta-studi-susa,474056,164
"Appartamento all'asta via Pompeo Cambiasi   8, Milano",citta-studi-susa,277500,181
"Appartamento all'asta via Illirico , 3, Milano",citta-studi-susa,78750,45
"Appartamento all'asta via Pompeo Cambiasi , 8, Milano",citta-studi-susa,277500,93
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,672229,117
"Appartamento all'asta via Cardinal Mezzofanti , 24/a, Milano",citta-studi-susa,672229,225
"Appartamento all'asta via Cardinal Mezzofanti 24/a, Milano",citta-studi-susa,474055,164
"Appartamento all'asta via Pompeo Cambiasi, 8, Milano",citta-studi-susa,277500,181
"Appartamento all'asta via Cardinal Mezzofanti , 24/A, Milano",citta-studi-susa,886295,225
"Appartamento all'asta via Pompeo Cambiasi , 5, Milano",citta-studi-susa,88500,30
"Appartamento all'asta via Pompeo Cambiasi, Milano",citta-studi-susa,277500,115
"Appartamento all'asta via Pompeo Cambiasi , 8, Milano",citta-studi-susa,277500,120
"Appartamento all'asta via Pompeo Cambiasi , 8, Milano",citta-studi-susa,277500,120
"Appartamento all'asta via Pompeo Cambiasi, Milano",citta-studi-susa,88500,30
"Appartamento all'asta viale Argonne, 35, Milano",citta-studi-susa,88825,55
"Appartamento all'asta via Illirico, 3, Milano",citta-studi-susa,78750,46
"Appartamento all'asta via Giovanni Pascoli, 2, Milano",citta-studi-susa,89300,49
"Appartamento all'asta piazzale Susa , 7, Milano",citta-studi-susa,147000,47
"Appartamento all'asta via Illirico , 3, Milano",citta-studi-susa,78750,48
"Appartamento all'asta via Antonio Vallisneri , 11, Milano",citta-studi-susa,297000,82
"Appartamento all'asta viale Argonne, 35, Milano",citta-studi-susa,88825,55
"Appartamento all'asta piazzale Susa, 7, Milano",citta-studi-susa,147000,70
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti , 24/A, Milano",citta-studi-susa,632074,121
"Appartamento all'asta piazzale Susa, Milano",citta-studi-susa,147000,44
"Appartamento all'asta via Cardinale Giuseppe Mezzofanti, 24/a, Milano",citta-studi-susa,896306,117
